timestamp,distress_score,distress_flag
2026-04-17T23:58:51.507516,0.0255,False
2026-04-17T23:58:51.564609,0.0247,False
2026-04-17T23:58:51.625144,0.0242,False
2026-04-17T23:58:51.681198,0.0246,False
2026-04-17T23:58:51.744010,0.0238,False
2026-04-17T23:58:51.804407,0.0246,False
2026-04-17T23:58:51.861520,0.0252,False
2026-04-17T23:58:51.921343,0.0263,False
2026-04-17T23:58:51.981323,0.0279,False
2026-04-17T23:58:52.042403,0.0322,False
2026-04-17T23:58:52.102364,0.0279,False
2026-04-17T23:58:52.199542,0.0290,False
2026-04-17T23:58:52.284746,0.0290,False
2026-04-17T23:58:52.345680,0.0292,False
2026-04-17T23:58:52.406758,0.0280,False
2026-04-17T23:58:52.468927,0.0302,False
2026-04-17T23:58:52.519122,0.0303,False
2026-04-17T23:58:52.579843,0.0295,False
2026-04-17T23:58:52.642018,0.0291,False
2026-04-17T23:58:52.704391,0.0300,False
2026-04-17T23:58:52.764652,0.0334,False
2026-04-17T23:58:52.821154,0.0303,False
2026-04-17T23:58:52.883679,0.0304,False
2026-04-17T23:58:52.942463,0.0303,False
2026-04-17T23:58:53.009570,0.0302,False
2026-04-17T23:58:53.077669,0.0316,False
2026-04-17T23:58:53.138842,0.0312,False
2026-04-17T23:58:53.198454,0.0321,False
2026-04-17T23:58:53.249527,0.0318,False
2026-04-17T23:58:53.315515,0.0318,False
2026-04-17T23:58:53.370574,0.0319,False
2026-04-17T23:58:53.429986,0.0326,False
2026-04-17T23:58:53.491812,0.0351,False
2026-04-17T23:58:53.552372,0.0324,False
2026-04-17T23:58:53.608072,0.0330,False
2026-04-17T23:58:53.674931,0.0297,False
2026-04-17T23:58:53.727452,0.0287,False
2026-04-17T23:58:53.791277,0.0300,False
2026-04-17T23:58:53.847080,0.0309,False
2026-04-17T23:58:53.909665,0.0291,False
2026-04-17T23:58:53.969777,0.0264,False
2026-04-17T23:58:54.036258,0.0274,False
2026-04-17T23:58:54.093695,0.0284,False
2026-04-17T23:58:54.156549,0.0286,False
2026-04-17T23:58:54.213741,0.0296,False
2026-04-17T23:58:54.277169,0.0295,False
2026-04-17T23:58:54.365714,0.0290,False
2026-04-17T23:58:54.462474,0.0290,False
2026-04-17T23:58:54.512982,0.0292,False
2026-04-17T23:58:54.575329,0.0279,False
2026-04-17T23:58:54.633225,0.0282,False
